# Belief-Tracking Debate Analyzer -- human annotation task
# Assigned annotator ID: TS
# 
# TASK: For each of the 145 rows below, read the full transcript in
# `transcript_text` and focus on the participant named in `participant_id` (their
# lines are tagged [participant_id] in the transcript). Decide the SINGLE primary
# cause of that participant's stance change across the debate, and write exactly
# one of the following five values into the `label` column for that row:
# 
#   evidence_adoption    - a new empirical/causal argument, high quality, and
#                          unlike anything the participant said earlier, changed
#                          their mind.
#   anchoring            - the participant mostly repeated their own prior
#                          position, or barely moved despite strong counter-
#                          evidence.
#   echo                 - the participant's later turns closely mirror the
#                          other side's wording, framing, or rhetorical style.
#   strategic_persuasion - the other side abruptly shifted from causal/empirical
#                          to emotional/moral appeals, and the participant's
#                          stance moved substantially right after.
#   ambiguous             - none of the above clearly fits, or more than one
#                          seems equally plausible. Do not force a choice.
# 
# RULES:
#   - Work independently. Do not discuss instances or compare answers with the
#     other two annotators before all three of you have finished.
#   - One label per row, in the `label` column, using one of the five values above
#     exactly as spelled (lowercase, underscores).
#   - Leave every other column unchanged.
#   - This file is your personal copy (annotator ID TS); do not
#     merge or overwrite the other annotators' files.
#
annotator,instance_id,group_id,participant_id,topic,agreementPreTreatment,agreementPostTreatment,sideAgreementPreTreatment,sideAgreementPostTreatment,transcript_text,label
TS,inst_00045,381.0,381.0_pro,Should there be International Agreements to Enforce Global Climate Change Policies?,5,4,1,2,"[381.0_con] Any policies agreed upon on an international level will be surface level and thus be highly ineffective. While it is nice in theory, the fact is that countries will use this as a means to get advantage of others economically, technologically, and others. To what benefit do you believe international policy will affect us? Will a shared policy between the United States and South Africa benefit both countries equally? It is better to establish policies on a country by country basis, taking into account individual technology, economics, and conditions. Specific measures lead to specific benefits. The need to address climate change is real and necessary and we must take effective action quickly. That can NOT be done on an international level. That MUST be done on a domestic level.
[381.0_pro] Global warming isn't called ""regional"", ""local"", or ""national"" warming - it's global because it is an international issue that affects everyone on the planet. Because of this, irregularities among laws where some countries may be contributing significantly to global warming while others are doing their best to combat it, creates a bit of a ""one step forward, two steps back"" stalemate that leads to regression. We should work together to solve problems that impact us together. This isn't to say that countries who might not be able to abide by certain guidelines should face struggles, but rather, that other countries should ensure they can and provide aid where necessary. As a whole, the world is a community, and the ideas of nations and borders is outdated, impractical, and just overall quite silly.
[381.0_con] Global warming is an international issue, but are countries affecting global warming in an international effort? Is the United States colluding with China to contribute to global warming? NO. Real regression is trying to implement an international policy for many countries because that will take an incredible amount of time to reach an agreement and in the end it will probably be ineffective as it pertains to so many different environments. Do you really believe adding more people will make an agreement easier to reach? The idea that 'the world is a community' is quite silly considering every actor is looking out for the betterment of themselves. It is naive to believe everyone will sacrifice their own money for global climate change policy.
[381.0_pro] The start of your argument is based on an assumption, but it holds no guaranteed truth and isn't supported by any facts. Why would international policies be surface level, but other policies wouldn't? What if, instead of assuming the worst, you assume the best, and we say ""Any policies agreed upon on an international level will be highly effective""? Such a statement could be just as easily said. The idea isn't to compare country A to country B and think who benefits more, it's to prevent global catastrophe that will impact everyone on this planet. The individual technology, economics, and conditions should be accounted for only in regards to ensuring everyone can implement equally, even if that means other countries helping, because it all works towards the same goal.
[381.0_con] Assuming the best case scenario is EXACTLY why we're in this situation in the first place. Policies are in place to deal with the WORST case scenario. And that is exactly what will happen in international agreements, every country doing the minimum to abide to those policies while pursuing whatever action gives them the most economic gain. Do you really believe China, one of the largest contributors to adverse climate change, will partake in an international agreement that will lower their GDP?
[381.0_pro] The question of if the US and China are colluding to contribute to global warming is irrelevant because it doesn't matter if they are: both countries are contributing to global warming. And, yes, in part by trading with each other and creating producer and consumer relations, they are in effect colluding because corporations internationally prioritize profit over environmental safety. The idea that everyone is looking out for themselves only is exactly the problem and can be applied to any statement, but things would never get better at all then, we'd just be extremist anarchists with no regard for anyone or anything else. We are a society and always have been and that's what makes humanity flourish.",ambiguous
TS,inst_00050,287.0,287.0_pro,Should the US Expand (“pack”) the Supreme Court?,4,5,2,1,"[287.0_con] well to begin with, it just did not make reaonable sense and seemed a little far feteched if I am to give my honest opinion
[287.0_pro] The representatives announced the reintroduction of the Judiciary Act of 2023 by adding 4 seats to create a 13 justice bench. It is although not supported by the President. but it will make judiciary more effective and efficient as per my view.
[287.0_con] Well I do not believe in the arguement they are trying to make in this case and i think without any hersitation i would disagree with  them any chance i got 
[287.0_pro] It will as it would allow increase racial and gender diversity on the Court. as it will appoint different justices with different types of professional experiences in my opinion.
[287.0_con] Likw I said earlier i think they are not  right
[287.0_pro] with the growing support since the time it was introduced the first time in 2021 there are very less chances that it will not be passed this time as it adds a lot to the Judiciary.",ambiguous
TS,inst_00097,172.0,172.0_pro,Should the Penny Stay in Circulation?,4,3,2,3,"[172.0_con] The penny costs 2.72 cents to make. Also the world is going digital so having change is becoming less prevalent. Most people are paying by card so it will eventually become a waste. Also most people dont even use pennies, they just get put into their cars or thrown onto sidewalks. The penny also isnt made of good materials.
[172.0_pro] 1. The penny helps keep pricing more precise and helps to avoid inaccurate pricing and overpricing of goods.\n2. The use of the penny helps improve overall contribution to charities. Many people may not want to donate more than a penny, so this will help keep contributions up.\n3. The penny has historical significance, as it has been around for the majority of the time the country of the USA has been established.\n4. It is more cost-efficient to produce than the next highest denomination, the nickel.
[172.0_con] How many people actually give a real penny to charity? Also lots of charities can be done electronically, so i can still donate 1 cent, it just wont be material. The 2$ bill was also a thing and the 50 cent coin yet we hardly see them anymore. removing the nickel would be more detrimental than removing a smaller amount of 1 cent. So although it cost more to make the nickel, we need it more than the penny
[172.0_pro] Percentage-wise, the cost to produce a penny is nearly equivalent to digital transactions. Per-transaction fees typically cost 1.5% to 4% of the payment amount, depending on the type of electronic transaction and provider. Also, your claim that the penny is not made of good materials Is not based in fact. People also do still use pennies.
[172.0_con] pennies are made of zinc and zinc is harmful to humans and the environment. Also it cost nearly equivalent to for digital transactions but how many pennies are lost in the environment that is wasted, how many pennies are in the oceans or sewers or somewhere else. Only the older generation still uses real money.
[172.0_pro] This argument does not take into account the cost it takes to make digital transactions. Per-transaction fees typically cost 1.5% to 4% of the payment amount, depending on the type of electronic transaction and provider. The 1 cent coin is the basis upon which the US currency system was founded, and to do away with it would degrade the overall US currency system.",ambiguous
TS,inst_00135,282.0,282.0_con,Should there be Mandatory Quotas for Women in Leadership Positions?,3,2,3,2,"[282.0_con] No there should not be mandatory quotas for women in leadership positions. Every workplace is different and something as vague as leadership cannot be quantified so easily and applied to the masses. Having set quotas would make the women work solely for the purpose of meeting the quotas, not working toward what is meaningful and important for the company or organuzation. The female women in leadership positions should still be held to a standard and be measured in some way, this should not be mandatory tho. It should simply be a tool to guage their perfromance as a leader. There are many different ways to measure the quality of a leader without setting arbitrary numeric milestones. 
[282.0_pro] I agree, there should be mandatory quotas for woman leadership positions because globally women hold only 21% of leadership positions. This under representation is demonstrably not due to a lack of qualified women. Including women in leadership brings diverse perspectives and experiences to the table, leading to better decision-making. Studies show that companies with greater gender diversity have higher profitability, innovation, and problem solving capacity.
[282.0_con] Requiring these leaders to meet certain requirements may just give men the ability to push women out of the workpalce by setting very high standards and saying they did not meet the requirements. Diversity is imporant and it should be in the workplace. Eliminating mandatory quotas allows more women to compete and gets rid of the possability from men or other groups to push women out of the worplace.
[282.0_pro] Women in Leadership Positions should be mandatory because achieving gender parity in leadership is not just about fairness, it's about progress for society as a whole. It fosters a more just and equitable world where women's talents and contributions are fully recognized and utilized. Increased gender diversity can also lead to improved public satisfaction
[282.0_con] I agree that having women and diversity in the workplace is good, but setting mandatory requirements does not help the situation. These quotas would require women to meet them and if they do not, they can be fired or let go. As I mentioned before this will enable men and other groups to push women out nof the workplace if they want to by setting unrealistic quotas or arbitrary requirements that the women cannot meet. The opposition can also be said that meeting these quotas would keep women in power. These requirements in general are not good for the company as well, thus making them irrelevant. 
[282.0_pro] Sometimes biases against women can subtly influence hiring and promotion decisions. Quotas can act as a counterweight to these biases, forcing organizations to consciously consider and prioritize qualified women candidates. Quotas encourage all organizations to broaden their talent pool by actively seeking out and nurturing female talent where no bias is present.",anchoring
TS,inst_00062,279.0,279.0_pro,Should Felons Regain the Right to Vote?,4,1,2,5,"[279.0_con] Felons should not regain their right to vote because their harmful actions took their privileges away. No one causing destruction in our society should not be able to vote. 
[279.0_pro] I believe it is a basic human right to vote and committing a felony does not negate this right. I feel that humans make mistakes and that should not bar someone from engaging with the community that they are a part of. Moreover some felons are on the way to reestablishing a connection to others and the community and voting would be a good way to integrate them into normal life. They are able to think politically and have opinions even if the justice system which is flawed has stated that they have done wrong in the past. A persons past should not reflect how they are engaged with voting or decisions beyond themselves. Voting has been taken away from so many people in the past, as a democracy we need to make voting inherently easier for everyone to do and more open to all. 
[279.0_con] They caused harm to other humans and our society so therefore their opinions don't matter. Our world needs input only from decent human beings not criminals. 
[279.0_pro] The actions of people, no matter how destructive should and cannot in any way obstruct the basic human right to affect change or elect a leader. They have not given up their right to vote by making mistakes and the thread of rights versus the past actions of a person is lost on me. I do not see the connection between the two since it is a basic human right, and felons should be treated as humans with access to all if not many human rights. It is not a way forward or keeping anyone safe to deny these rights. It is destructive in itself to not let them vote. 
[279.0_con] As stated before, these are criminals. Criminals should not have the same rights as the good citizens in our society. Unfortunately, due to their poor decisions their opinions don't matter. 
[279.0_pro] You do not get to decide who is decent and take away someones human right to decide on a leader, affect change, voice an opinion or vote based on how you view them. Let felons reintegrate into society by being constructive. A very basic and necessary way to do this would be to allow them to vote. There are many other things felons cannot do and this is the least harmful way to allow them to correct or even counter the harm they committed. Why not let them vote and be a value to our society as it is a democracy and lessen the extent to which we villify felons.",ambiguous
TS,inst_00126,244.0,244.0_pro,Should Public College Be Tuition-Free?,2,3,4,3,"[244.0_con] I don't think Public college should be tuition-free because it goes against the cream of the crop rising to the time. Have you ever heard the expression that something losing its value and prestige the more everybody has it? It's akin to a luxury bag or piece of jewelry with immense value because not everyone can afford it. However, once that item is in the hands of the common person, its value becomes much lower. College was the mark that separated an ""ordinary"" person from someone active and able to complete it - because it was so difficult to make it happen. However if anybody can make it to college now, it defeats the point of using as an indicator of someone who is an executor, perseveres, and can make things happen.
[244.0_pro] College tuition should be free as it's the best way to unburden those who want to further their education.  By covering the cost of tuition we are giving these people the chance to focus on learning, rather than loading them up with excessive debt or forcing them to work long hours to cover their costs.  This will, in turn, allow for more education, pointing people to better jobs, growing the economy.  In addition, this would make college accessible to all people.
[244.0_con] I understand what you mean by lessening the burden of debt on those people who try to go to college to learn. However, I feel that this burden of debt will lead to a more efficient life because it makes a person think about whether they want to go to college. These days, college students rarely get into the field they studied for. Also, people who are in the trades, then dont make more money than those same entry-level people who spent years at college going after what they studied. Can you imagine the unnecessary debt that could be avoided if people were forced to sit and think about whether going to college would benefit them?
[244.0_pro] Giving the opportunity to all people would not lessen the value of college. There would still be a natural balance of students that are higher performing versus those that are lower.  This would, most likely, also mirror what happens to the educators.  Meaning that good students would, probably, still get a better education.  The goal is to give everyone some 
[244.0_con] I mean it would not identify those who are ""overcomes"". What grows people is the act of beating struggle and finding a way to make tuition instead of just getting it would help those diamonds in the rough grow and become strong leaders in our society. There is a problem with just handing everything to everybody, even college tuition. That puts the burden of paying for it on the government which in turn, falls to the tax-payers. It also encourages students not to try hard and plan well to get into college and find ways of doing so because it's just handed to them. 
[244.0_pro] By spreading the cost of education to all taxpayers and giving those that want to learn a chance to be unimpeded we will see a growth in our economy that is rarely seen.  This will take time and we may not see the benefits within a lifetime, the long term potential is massively positive.",anchoring
TS,inst_00100,370.0,370.0_con,Is Online Learning a Suitable Replacement for Traditional In-Person Education?,4,3,4,3,"[370.0_con] Online learning is not a suitable replacement for in person education. Though online learning can be extremely effective and efficient, there is no substitute for being face to face with an instructor and getting personal attention from them as well as being able to act and react and ask questions in a real space. People who do online learning instead of in-person may miss out on the focus that being there in the same space with someone can provide. It is easier to understand and pay attention when you are listening to and engaged with someone in real life. It is difficult to simulate that type of interaction online because we are limited visually to a small screen. 
[370.0_pro] Online learning provides new opportunities to those who may not have access to any education otherwise. It also opens up the opportunity to learn at one's own pace. People with jobs or with kids will have more access to continued education and can use that to improve their socioeconomic status or just their knowledge. With the improvement of technology and the larger accessibility, it is clear that online learning could replace traditional in-person education.
[370.0_con] Again, though online learning may provide additional access to those who may not have had access before. It can be used perhaps a supplement to in-person learning. There are many things that are not equivalent to in-person learning. It is difficult to see that it would replace in-person learning since you do lose the intimacy, attention, and focus given when you are in an actual learning space with your instructor. The two can co-exist and they are both valuable but for times when you need the best
[370.0_pro] New technology has improved to facilitate online learning, including features to raise one's hand. Online learning could still provide direct teacher-student feedback, even if it's not instant. If anything, this could allow the student time to properly think out their question, and maybe even find the solution themselves.  Nothing would stop someone from using a bigger screen or a tv if that what they needed to pay attention. Plus online education has the ability to reqind and review whenever neede
[370.0_con] Non-instant Direct student-teacher feedback would also be available for in-person learning. These are all things that can happen in and out of a classroom. Again, online-learning though it can perhaps close the gaps in some respects, is not able to fully provide the benefits that an in-person learning environment provides and would require more work from an instructor to try to match.
[370.0_pro] The difference in distractability comes from one's environment. If one chooses to remove distraction, then one should be able to pay attention (considering neurotypical). If they are not, they can review the material whenever needed, and at times, they feel they are more mentally able to handle the load. Homework is expected from many classes, and it requires one to pay attention in the same environment. ",anchoring
TS,inst_00103,334.0,334.0_con,Is Space Exploration a Worthwhile Investment for Humanity?,5,3,5,3,"[334.0_con] This is not a worthy investment towards humanity as we have limited resources.  We should be doing all we can to protect the earth that we live in, rather than spending time exploring space.   We are currently facing climate change problems that will especially hurt vulnerable island communities, and we have human rights crises,  etc.   Our priority for humanity should literally be humans, and that involves on our own earth.   Money diverted to exploring space could be used instead to help our communities first.  
[334.0_pro] The main reason I think space exploration is worthwhile is because I think space is cool, but there are plenty of other reasons why our futures may be in the stars. Due to global warming and the fact that our plant's natural resources are steadily depleting, and considering that most politicians don't really care enough to do anything about it, our Earth may soon become inhospitable for human life. Plus, with overpopulation starting to become a genuine threat, finding another planet that can support life is a worthwhile avenue to explore. Also, we can mine precious resources on other planets that are not as avao
[334.0_con] Since we don't know if any planets are suitable for human life, it is more important to extend research to our own planet and try to protect it from climate change.  Space is certainly cool, but we have our own oceans to discover and our own uncharted species.  It is better to allocate research to our own land, especially since humanity is already here.  Rather than look for other planets, we should be protecting the one we have.
[334.0_pro] I think it's fair to say that we should spend as much of our resources as we can to helping the people already on Earth, but at the end of the day our planet is heavily depleted and will eventually not be able to support life even if we manage to slow down its deterioration.
[334.0_con] We don't know that any other planet can currently support life and humanity is already here.  We should be slowing down climate change as much as possible to protect those living and keep as much of our earth as possible, especially with concern for other species and also researching our own undiscovered species.  We should be preventing the situation from becoming dire rather than expanding resources to the unknown.  Also, Elon Musk is annoying.
[334.0_pro] At the end of the day, as much as it is important to focus on the present and slow down the destruction of the land on Earth, it is never a bad thing to have a backup. Scientists have already discovered plants that have liquid water on them and have the probability of being able to support human life. The Earth won't last forever, especially with the damage we've already done to it. ",ambiguous
TS,inst_00057,325.0,325.0_pro,Should Animals Be Used For Scientific Research?,4,3,2,3,"[325.0_con] Animals should not be used for scientific research because it violates their rights and causes pain and suffering to them. Also, other means of testing are available. 
[325.0_pro] Animals should be used for scientific research because animals are biologically, very similar to humans. So using them as subject in experiments, such as vaccines, medicines, and other medical innovations is important because it allows us to see how it would affect humans beings if administered to the general population. Using animals, also helps us ensure the efficacy and safety of  new medicines and vaccines, before they are rolled out to humans. If animals were not used, it would cause sickness, harm, and even death to many people. Animals have given us the covid-19 vaccine, and helped curb widespread pandemic and sickness for many years. 
[325.0_con] Although animals are very similar to humans, they are not the same as us. There are many things that could go wrong when just working with the differences of animals to humans, not to mention the research could not be correct.\nWe could  use computers to do research instead of animals
[325.0_pro] The argument that scientific research violates animals rights and causes pain and suffering is flaws. There are laws and improved practices being put in place that are established to bolster the welfare of the animals that are included in these studies. Other means of testing are available, but they are not as accurate, and there is nothing available currently that gives us the biological similarity to humans that animals provide for us. Therefore, I believe the pros outweigh the cons when it comes to using animals for important scientific research. 
[325.0_con] I believe that the cons outweigh the pros as to using animals in scientific research, \nIt not only puts the animals in in harm, it violates their rights, so we could do reseearch with computers, or design ways of doimg experiments safely in humans. We could also use simple organisms, such as bacteria, to study basic bio process
[325.0_pro] Overall, animals should be used in scientific research. Not only are they biologically similar to humans - much more than a computer ever would be - they have a shorter life cycle. This gives scientists the opportunity to study them throughout the entire life span and even across multiple generations. Which is essential when scientists are trying to determine how an illness processes and how it effects the entire biological system. Nothing compares or ever will compare to animals in research. ",anchoring
TS,inst_00037,113.0,113.0_pro,Should there be Mandatory Quotas for Women in Leadership Positions?,1,2,5,4,"[113.0_con] I do not believe that there should be mandatory quotas for any race, gender, etc. in leadership positions. I think people should be promoted based on their experience, quality of work, etc. If there is one woman and one man up for a leadership position, the person who has worked harder and is more qualified for the job should get promoted. It's unfair to pass up the best candidate because a quota has to be filled. You would think as a woman, I would be all for quotas, however I just don't think hiring someone because of their gender is fair. The world should be as follows: If you want to be promoted into a leadership position at your job, you should work hard and show the higher ups that you are the right person for the job. If there were quotas, it may make the women up for the position not work as hard because they believe they have an advantage just by being a women. This could lead to a lower quality of work which in turn, hurts the business in the long run.
[113.0_pro] Hello.  I take the position that there should be mandatory quotas for women in leadership.  I have worked for publicly listed corporations for my entire career and I can assure you there is a glass ceiling for women at the leadership level.  This is largely due to the misconceptions men in leadership have toward women and their bias to work with each other rather than women.  These statistics over the last 40 years back up my opening statement.  There is a vast need for more diversity and equity when it comes to women women in leadership positions, whether private industry or public sectors.  Mandatory quotas will solve this problem.
[113.0_con] Although I agree that mandatory quotas will solve this problem in the short term, I think in the long term, it causes more negatives than positives. Instead of having mandatory quotas reinforcing this, they should focus on battling the misconceptions of female workers and make changes to improve that way of thinking. This way, eventually there may not be a need for mandatory quotas.
[113.0_pro] The point you make is understood.  However, we need women in leadership positions to open the eyes of those in leadership.  The only way to ensure this happens and be able to showcase what women can do is to force a percentage of leaders to be women and ensure their spot at the table.  Then, once things have equalized in the future and opions change, we can revert.
[113.0_con] I understand what you're saying. However I think that should be a last resort. I think over the years, women have increasingly proven their effectiveness in the workplace and although not at a level it should be, are starting to show that women are just as efficient as men. I think if we revert after the affect, it may cause damage to the way women are portrayed in the workplace and unfortunately, may not be reversible.
[113.0_pro] The statistics indicate that implementing racial quotas at colleges does not decrease the performance of those that benefit from these changes.  The same can be said and expected for women.  Just because they were awarded a position based on gender, doesn't mean they won't be a top performer.  If anything, it will incentivize the women leaders to outperform their male counterparts to prove themselves.  This opens the door for them to do that.",ambiguous
