condition,participant_id,group_id,topic,turn,public_message,agreementPreTreatment,agreementPostTreatment,sideAgreementPreTreatment,sideAgreementPostTreatment
human-human,4.0_pro,4.0,Should Animals Be Used For Scientific Research?,0,"Animals suffer tremendously and there are other means to test cosmetics, drugs, and the like. Animals aren't always the best catalysts for results. Animals cost money to feed, maintain by paying vet bills, house. Animals testing is cruel and antiquated as a testing method. Why not use humans instead and see how humans like pain, disfigurement, and suffering.",1,3,5,3
human-human,4.0_con,4.0,Should Animals Be Used For Scientific Research?,0,"I think that animals are sentient beings and should have some rights. I think that there is too much unneeded and unnecessary abuse of animals and we should learn to treat them better and give them more rights. this part will be controversial to some, but I believe any testing we do on animals should be done on convicted prisoners instead. we can use convicted murderers and rapists (only those with absolute proof of guilt). it would give us better results than testing on animals and it would further science more accurately. I also think that people need to be more mindful of animals spaces whether it is in nature or in their own homes. we need to find alternative ways to further research without harming innocent creatures. we need to find better ways that cau",5,4,5,4
human-human,5.0_pro,5.0,Are Social Media Making People Stupid?,0,"Yes, Social media is absolutely making people more stupid on the whole. People have learned not to think for themselves. They have learned to get all information on life from the internet and from watching videos, seeing articles on social media etc and assuming that the information they are being presented is true. They don't take the time to fact check themselves or the information that is being given to them and therefore begin to adopt beliefs that are not true and do not actually represent accurate depictions of certain events. ",5,5,1,1
human-human,5.0_con,5.0,Are Social Media Making People Stupid?,0,"Social media is not making people more stupid, but allows them to research topics and actually become smarter as they can interact better with those around them. Reasoning to show an example of this is how people who have not taken a traditional college or schooling route are able to make a lot of money without ever entering the working world. The idea of the influencer might seem somewhat disingenuous or vanity filled on the surface, but at the same time, it is a growing profession that can absolutely pay off as we have seen with many people. Social media is something that has taken giant steps and leaps to grow, and it will only do so because of its popularity and ability to focus on intellectual and sophisticated interaction, which then allows people to develop entrepreneurial skills. Therefore, the proof that social media is making people stupid is quite the opposite. It's making them smarter.  ",4,4,4,4
human-human,14.0_pro,14.0,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,0,The US should provide military aid to Ukraine against Russia for a number of reasons.  The first reason is a moral argument.  Russia is the aggressor country and is killing and raping innocent people.  They are targeting infrastructure and grain silos to try to freeze and starve Ukraine to death.  The US also was a signatory to the Buddhapist Accords which says that the US will agree to help Ukraine in it's defense for Ukraine giving up it's nuclear weapons.\n\nThe US has stockpiled tons of weapons during the Cold War in order to defeat Russia should there be a conflict between the two countries.  These weapons are close to being decomissioned which costs a lot of money.  It costs us less money to send these to Ukraine.,5,5,1,1
human-human,14.0_con,14.0,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,0,The war has already taken too long and too much of the US's money. The US has plenty of other issues that need dire attention at home first before spreading itself thin in Ukraine. Russia does not seem to be letting go and this war can end up costing America too much.,4,2,4,2
human-human,16.0_pro,16.0,Are Social Media Making People Stupid?,0,"I believe that social media is making people less intelligent. I think that as social media has become more prevalent in use, the age of use of social media has gotten lower and lower to the point where social media is now being used by children who should not be using it. Due to this, the children are using social media for large amounts of time. In my opinion, this time could be better spent practicing reading, math, and other skills they should be honing in school. Instead, most children with access to social media are using their devices much more than they should be. This is causing stunts in their development, which is literally contributing to them becoming less intelligent than the last generation. If someone uses their time to practice a skill versus looking at a screen for 30 minutes a day, believe the person practicing the skill would end up being more intelligent, and therefore I believe my argument is proven true.",3,5,3,1
human-human,16.0_con,16.0,Are Social Media Making People Stupid?,0,"Social media is not making people stupid. Social media provides individuals with more access to information that ever before. It allows them to talk to people all over the world. It allows them the ability to learn about anything they can think of. It gives them experience with different cultures, along with being able to hear different opinions and information. It allows them to engage with others on any topic and hear many different points of view. It provides a vast array of experiences that can make an individual more aware of the world at large. ",4,1,4,1
human-human,20.0_pro,20.0,Is Government Surveillance Necessary for National Security?,0,"The Government surveillance is necessary because it prevents crimes against the US and the citizens.  It prevents terrorism, espionage, and strengthens our security in our country.  The data is used to see patterns within the country to prevent bad things from happening.  In conclusion, government surveillance is a beneficial so American can be more secured and peaceful.",2,3,4,3
human-human,20.0_con,20.0,Is Government Surveillance Necessary for National Security?,0,"Government surveillance is not needed to provide national security, It would not work, it is impossible to watch over 300 million people 24/7 to a point where security is provided, the only way to accomplish that is with a police state which creates more problems than it solves. Look at the police states out in the world today. You have North Korea, wh",3,3,3,3
human-human,22.0_pro,22.0,Is Space Exploration a Worthwhile Investment for Humanity?,0,"I personally feel like Space Exploration is definitely worthwhile. We still don't know how big space really is and that alone is fascinating. We know now that Aliens are, in fact, real, and it could be great to actually see one and see how they work and think. Where do these Aliens come from? Do they speak and think like us? What do they know about space? It's a way to get more information if we find a way. It opens up the possibilities of other life beings, not just humans, animals, and aliens. What if giants exist too? Or fairies? Mermaids? We can easily start with space since we do have an American space program, as well as space programs in other countries. We can work together to figure this stuff out.",3,1,3,5
human-human,22.0_con,22.0,Is Space Exploration a Worthwhile Investment for Humanity?,0,There are cons to space exploration. space debris can be hazardous to astronauts and other satellites. There are risks such as radiation and potential for accidents which can cause loss of life. It costs a lot of money. A lot of money can be spent on a mission that fails quickly. This money could have been used to fund other issues. Some countries might use space as a means for war and miliatry operations. ,5,5,5,5
human-human,23.0_pro,23.0,Should the US Ban Fossil Fuels to Combat Climate Change?,0,"The US should ban fossil fuels as individuals' efforts to combat climate change might not be enough (recycling, using public transportation). While banning fossil fuels might not be sufficient for reversing climate change, it can make a difference in reducing the effects of climate change. Climate change needs to be combated on a individual, local, national, and corporate level to see real change. If not, future generations may not have a planet, biodiversity will decrease, and natural resources will continue to be depleted. The US should specifically have a responsibility as Americans tend to be significant emitters because of our lifestyle. ",4,4,2,2
human-human,23.0_con,23.0,Should the US Ban Fossil Fuels to Combat Climate Change?,0,"I do not think the US should completely ban Fossil Fuels to combat climate change because a sudden ban would cause trouble for the country, as the alternatives may not provide enough energy for our needs. A ban might be something for us to lean into, but a complete ban would be difficult to achieve.",3,2,3,2
human-human,26.0_pro,26.0,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",0,I think that having Washington DC and Puerto Rico become official states would be good for our country because it would provide an easier method for travel and less confusion. It would also be easier for people living in those places to acquire aid if needed. The newly formed states would also have an easier time procuring government benefits and help during times of need or when suffering national emergencies. Having additional states would also mean additional electoral votes during elections and better representation within our nat,3,3,3,3
human-human,26.0_con,26.0,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",0,"I disagree that Washington, DC, and Puerto Rico should be granted US Statehood. Puerto Rico is not a part of the US like Alaska or Hawaii; those are the only two states that are physically separated from the USA, and they became states over a hundred years ago. Puerto Rico did not have this upbringing, is not involved in the way our country functions in any way shape or form, and thus it does not need, nor should it have, US statehood. Washington and DC should not be granted US Statehood simply because they already have it. This is my stance on the matter.",5,2,5,2
human-human,27.0_pro,27.0,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,0,Putin and Russia invaded Ukraine without provocation and the US has a moral and strategic obligation to help the Ukrainian people defend itself against a hostile invader.  Helping Ukraine successfully defend itself against Putin will deter him from invading other neighboring countries in the future and avoiding destabilizing the region which could lead to  a potential World War.,2,2,4,4
human-human,27.0_con,27.0,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,0,"In my opinion, they should not provide aid. It is a waste of money and resources that could be used to help their own citizens that are struggling every day. On top of that, it is rather pointless to. Russia has an advantage and will eventually take over Ukraine in this conflict.  ",1,2,1,2
human-human,30.0_pro,30.0,Should Animals Be Used For Scientific Research?,0,"Animals should certainly be used for scientific research. The benefits of animal research are far-reaching, especially when it comes to searching for cures and treatments for disease. The use of animals gives researchers an ethical way to effectively test various treatments on living mammals that serve as stand-ins for their human counterparts. The results from these experiments are much more reliable than ""modeled"" research whose results may not be achieved in the real world.\n\nThere are ethical concerns - no animals should be mistreated or abused during the process. There should be no pain infl",4,5,2,1
human-human,30.0_con,30.0,Should Animals Be Used For Scientific Research?,0,"Animals are living beings that can feel pain.  They are unable to consent to their bodies being used for scientific research.  Their quality of life may be significantly reduced through being used for scientific research.  It's irrational to set different standards for how we treat people versus how we treat animals, because our souls don't get to choose the species of the Earthly vessels we inhabit.  Animals may be less capable of problem-solving and other types of advanced cognition compared to humans, but this doesn't necessarily mean that their experience of the world is less vivid, or less profound.  All living beings should be treated with respect and dignity, and animals should be included in that.  ",4,4,4,4
