instance_id,annotator,label
inst_00045,TS,ambiguous
inst_00050,TS,ambiguous
inst_00097,TS,ambiguous
inst_00135,TS,anchoring
inst_00062,TS,ambiguous
inst_00126,TS,anchoring
inst_00100,TS,anchoring
inst_00103,TS,ambiguous
inst_00057,TS,anchoring
inst_00037,TS,ambiguous
inst_00055,TS,ambiguous
inst_00095,TS,ambiguous
inst_00030,TS,ambiguous
inst_00094,TS,ambiguous
inst_00072,TS,ambiguous
inst_00011,TS,ambiguous
inst_00001,TS,evidence_adoption
inst_00086,TS,ambiguous
inst_00079,TS,anchoring
inst_00002,TS,ambiguous
inst_00039,TS,ambiguous
inst_00082,TS,anchoring
inst_00019,TS,anchoring
inst_00133,TS,anchoring
inst_00065,TS,ambiguous
inst_00010,TS,ambiguous
inst_00108,TS,anchoring
inst_00118,TS,ambiguous
inst_00015,TS,anchoring
inst_00012,TS,ambiguous
inst_00038,TS,anchoring
inst_00093,TS,ambiguous
inst_00056,TS,ambiguous
inst_00136,TS,evidence_adoption
inst_00071,TS,evidence_adoption
inst_00022,TS,ambiguous
inst_00054,TS,anchoring
inst_00081,TS,ambiguous
inst_00078,TS,ambiguous
inst_00069,TS,ambiguous
inst_00102,TS,ambiguous
inst_00134,TS,anchoring
inst_00106,TS,evidence_adoption
inst_00077,TS,echo
inst_00137,TS,ambiguous
inst_00020,TS,ambiguous
inst_00096,TS,anchoring
inst_00080,TS,ambiguous
inst_00043,TS,anchoring
inst_00090,TS,ambiguous
inst_00132,TS,anchoring
inst_00083,TS,ambiguous
inst_00131,TS,ambiguous
inst_00009,TS,ambiguous
inst_00114,TS,anchoring
inst_00000,TS,anchoring
inst_00008,TS,ambiguous
inst_00013,TS,ambiguous
inst_00005,TS,anchoring
inst_00033,TS,ambiguous
inst_00119,TS,ambiguous
inst_00017,TS,ambiguous
inst_00031,TS,ambiguous
inst_00059,TS,ambiguous
inst_00107,TS,anchoring
inst_00063,TS,ambiguous
inst_00067,TS,ambiguous
inst_00139,TS,anchoring
inst_00142,TS,anchoring
inst_00042,TS,ambiguous
inst_00130,TS,anchoring
inst_00040,TS,ambiguous
inst_00014,TS,ambiguous
inst_00122,TS,ambiguous
inst_00044,TS,anchoring
inst_00006,TS,anchoring
inst_00092,TS,anchoring
inst_00024,TS,echo
inst_00070,TS,ambiguous
inst_00125,TS,ambiguous
inst_00023,TS,ambiguous
inst_00018,TS,ambiguous
inst_00109,TS,anchoring
inst_00046,TS,ambiguous
inst_00098,TS,ambiguous
inst_00138,TS,ambiguous
inst_00104,TS,ambiguous
inst_00105,TS,ambiguous
inst_00140,TS,ambiguous
inst_00027,TS,ambiguous
inst_00115,TS,anchoring
inst_00141,TS,ambiguous
inst_00085,TS,ambiguous
inst_00101,TS,ambiguous
inst_00026,TS,ambiguous
inst_00029,TS,anchoring
inst_00025,TS,ambiguous
inst_00041,TS,ambiguous
inst_00129,TS,ambiguous
inst_00003,TS,ambiguous
inst_00116,TS,evidence_adoption
inst_00053,TS,ambiguous
inst_00120,TS,ambiguous
inst_00084,TS,ambiguous
inst_00061,TS,ambiguous
inst_00007,TS,evidence_adoption
inst_00113,TS,ambiguous
inst_00028,TS,anchoring
inst_00144,TS,ambiguous
inst_00052,TS,ambiguous
inst_00048,TS,anchoring
inst_00128,TS,ambiguous
inst_00073,TS,ambiguous
inst_00121,TS,ambiguous
inst_00060,TS,ambiguous
inst_00074,TS,ambiguous
inst_00032,TS,ambiguous
inst_00047,TS,ambiguous
inst_00088,TS,ambiguous
inst_00076,TS,ambiguous
inst_00124,TS,anchoring
inst_00112,TS,anchoring
inst_00036,TS,ambiguous
inst_00004,TS,ambiguous
inst_00117,TS,ambiguous
inst_00099,TS,ambiguous
inst_00066,TS,ambiguous
inst_00075,TS,anchoring
inst_00034,TS,ambiguous
inst_00111,TS,ambiguous
inst_00089,TS,ambiguous
inst_00123,TS,evidence_adoption
inst_00127,TS,ambiguous
inst_00035,TS,ambiguous
inst_00143,TS,anchoring
inst_00087,TS,ambiguous
inst_00110,TS,ambiguous
inst_00091,TS,ambiguous
