# TS annotation rationales

One concise rationale per instance; the completed source table remains unchanged except for its label column.

- `inst_00045` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00050` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00097` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00135` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00062` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00126` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00100` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00103` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00057` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00037` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00055` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00095` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00030` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00094` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00072` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00011` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00001` — `evidence_adoption`: A substantial shift follows a concrete empirical or causal case and an explicit concession.
- `inst_00086` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00079` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00002` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00039` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00082` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00019` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00133` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00065` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00010` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00108` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00118` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00015` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00012` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00038` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00093` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00056` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00136` — `evidence_adoption`: A substantial shift follows a concrete empirical or causal case and an explicit concession.
- `inst_00071` — `evidence_adoption`: A substantial shift follows a concrete empirical or causal case and an explicit concession.
- `inst_00022` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00054` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00081` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00078` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00069` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00102` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00134` — `anchoring`: The participant maintains the same core position with only limited movement.
- `inst_00106` — `evidence_adoption`: A substantial shift follows a concrete empirical or causal case and an explicit concession.
- `inst_00077` — `echo`: The final turn explicitly adopts the other side's framing after a substantial measured shift.
- `inst_00137` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
- `inst_00020` — `ambiguous`: The transcript does not isolate one clear mechanism for the observed change.
