participant_id,condition,transcript_id,topic,transcript,q1_change,q2_mechanisms,q3_evidence,q4_confidence_1to5,q5_workbench_useful_1to5_or_NA,workbench_panel,mech_overlap,text_grounded,q4_num,q5_num
P1,A,176.0,Is Government Surveillance Necessary for National Security?,"Topic: Is Government Surveillance Necessary for National Security?
[176.0_con] I believe that every US citizen has a right to privacy.  An acquaintance recently was charged with selling  prescription drugs and there was a year long investigation.  I have known this person for approximately one year.  We text and were previously friends on facebook.  Because he is being investigated does not mean anyone should have access to my texts, phone calls, or conversations on facebook.  \nIf the government picks up certain ""buzzwords"" in conversation, it should not give them the right to listen to entire private conversations.  We should not be living under Big Brother's watchful eye.  We are still Americans with rights.
[176.0_pro] National security is of utmost importance. With the rise of terrorist attacks, we need to be sure we can be kept safe. If we are doing what we are supposed to be doing as citizens of the country, then we should not have to worry about the government checking in with us. There are many attacks that could have been prevented if the government had the ability to check in with us and make sure we aren't up to nefarious activities. Just as parents protect and look after their children, the government has the right to look after us to ensure our safety and security. 
[176.0_con] National security is extremely important.  However, for citizens like myself who have a lifetime history of no terrorist involvement, history of a criminal record, we should be given our right to privacy.  It's not a matter of worrying that the government is checking in with us, it's a matter of personal privacy.  And who is paying these government employees to listen in?...we are, as taxpayers.  I'm not completely sure if there are MANY attacks that could have been prevented by listening in, where is the proof of that? As a parent, I would not listen in on my child's private conversations.  The government is certainly not my parent.
[176.0_pro] Your example is well taken. That said, what if it were a matter of life and death? If there were an alleged or planned terrorist attack wouldn't we want to know about it, and be able to take action against it to prevent it? Also your friend was put in a position of trust which he violated. As such, measures to ensure that we can have trust in our professionals must be ensured. Without this trust all else is lost. 
[176.0_con] If it were a matter of life and death, that is a completely different scenario.  However, I do not believe even then the government would have the right to listen in on every American citizens private conversations.  What the government could and should be doing instead is tracking all of the illegal immigrants who were recently let into our country under the current administration.  My friend violated my trust, is that what you are saying? That doesn't give the government the right to listen in on my private conversations.  That is between my friend and myself.  
[176.0_pro] Just like you wouldn't let your child do whatever they want, we can't be allowed to do whatever we want either. You mention having no lifetime history of terrorist involvement, but who is to say that can't be said about most terorrists? How else would we know they are terrorists? The means of surveillance can be targeted to ensure that those who are most likely to be the up to trouble are monitored the most. ","No clear change. The con speaker briefly allows that a life-or-death case is different, then immediately returns to rejecting broad surveillance.",no_clear_change,"The con speaker says, “If it were a matter of life and death, that is a completely different scenario,” but follows with, “I do not believe even then” the government may listen to every American.",4,,,0.0,0.0,4,
P1,A,165.0,Should Governments Have the Right to Censor the Internet?,"Topic: Should Governments Have the Right to Censor the Internet?
[165.0_con] I think that governments should not have the right to censor the internet because it takes away valuable perspectives and insights from the public forum. Having this type of government would result in society becoming like places similar to North Korea where people are only allowed to express views that the government approves of and people who express views outside of what is approved by the government get punished very harshly. I don't think society would be a safe place if this type of censorship was allowed
[165.0_pro] I strongly believe people should be able to freely speak their minds and disagree with others and openly discuss things but I also think the government has a duty to protect its citizens against hate speech and threats on the internet just like they would in real life. 
[165.0_con] I can see where your concern is in regards to hate speech and I agree that people should not be allowed to threaten or cause harm to others through the use of their speech. I would also like to add that there are many laws that are already in place that protect people from these type of verbal threats which do not require limiting free speech on the internet all together in order to make things safer for people. I think enforcing government censorship online would eventually lead to people not being able to express their views in any way unless the government approves it (manually) which would end up being an issue of whether or not people who are using the internet have rights anymore to speak how they truly feel without feeling restricted
[165.0_pro] Just like committing any other crime against people, I believe the government has a right to remove dangerous and hateful content.  This doesn't mean that people are only allowed to express views that the government agrees with but that users can expect to be protected when online from hate speech, stalkers, threats against them. 
[165.0_con] I think that this problem can be solved all together without the need of any form of government censorship. With the laws that are already in place in regards to violence and stalking, I do not think that censorship online would make any difference. I think that government censorship would actually make it more difficult for people making threats to be caught because it would be blocked/removed entirely without as much of a trace being left behind for the victim to report.
[165.0_pro] If there are many laws that are already in place that protect people from these type of verbal threats then how is that not censorship? I completely agree with you in the first amendment free speech stance on the internet seen as a public square, but once there are laws regarding what you can and cannot say, this is technically censorship. ","No clear change. Both speakers acknowledge part of the opposing concern, but neither changes their underlying position on censorship.",no_clear_change;echo,"The con says, “I can see where your concern is,” but still rejects censorship. The pro says, “I completely agree with you in the first amendment free speech stance,” but still calls legal limits censorship.",4,,,0.3333333333333333,1.0,4,
P1,A,144.0,Should Felons Regain the Right to Vote?,"Topic: Should Felons Regain the Right to Vote?
[144.0_con] Said person committed a crime and even if and when they are released they have lost that right to vote. They did something that sent them to prison and it was something bad enough they lost the right to help decide what should happen in the community and country they live in. 
[144.0_pro] There are certain instances where felons should morally be given a right to vote. These instances are few and far between, but they definitely are there. Some felons have a change of heart and even convert to faith during their imprisonment. These individuals are then not the same that they were before, and are able to contribute in a meaningful way to community again. There are programs that provide training and counseling in prisons that rehabilitate prisoners to begin a new life that is vastly different than the one that they led before. Finally, there are a very few felons that may have committed a felony for a good reason, (i.e. to protect a family member or to prevent a catastrophe). In those cases, the individual's ability to vote in a beneficial manner has never been violated. 
[144.0_con] I do not buy a change of heart and convert of faith to me is a massive copout. I do agree that some might have committed a crime to protect family, if that was true they would have been found not guilty. That point does not hold up to me. 
[144.0_pro] I honestly agree wholeheartedly with you for most felons. It is for the few that do change in prison (i.e. convert to faith and/or learn skills and get counseling to improve) that I argue in favor of. These few deserve a second chance in life, just as we all would hope for. There are also a very few that may have committed a crime for a good reason, for instance to protect a mother or to prevent a crime. These may not have ever become violated in their conscience to begin with and therefore are still able to contribute to society in a meaningful way.
[144.0_con] I still do not agree. I believe that once you have does something that bad and are sent to prison for whatever the reason you have lost that right to vote.  Yes, some might change. That is the price that needs to be paid so that we have a just society (if you even want to say we have one now). 
[144.0_pro] All humans mess up from time to time. Some much worse than others. Some are evil to the core, but not all. There are definitely those who have gotten tied up with the wrong crowd, grown up in extenuating circumstances, and never were given a chance in life. I would hope that there would be forgiveness and a second chance for those who have a change of heart and are trying to live a new, good life.","No clear change. The pro speaker agrees that most felons should not necessarily regain the vote, but this matches the initial argument for only limited exceptions.",no_clear_change,"The pro first says the relevant cases are “few and far between,” then says, “I honestly agree wholeheartedly with you for most felons,” while continuing to support “the few that do change in prison.”",4,,,0.0,0.5,4,
P1,A,224.0,Is Online Learning a Suitable Replacement for Traditional In-Person Education?,"Topic: Is Online Learning a Suitable Replacement for Traditional In-Person Education?
[224.0_con] Online learning is not a suitable replacement for traditional in-person learning. It is like licking a wrapped sweet, the best you can get is a little taste of the flavor, the actual taste/feeling will  never be felt. Plus, the dedication learning requires will never be given in an online learning space.
[224.0_pro] I am pro online learning as a replacement for traditional in person education. As long as a student has the correct technology equipment such as a computer and working speakers etc there is no reason that online is not suitable. If necessary there could also be a stipend for students internet connection to be paid for so that there is a suitable internet connection. Students will not have to worry about being distracted in the classroom and teachers can develop different lesson plans that are suitable for home. This will also set up students for success in working individually and increasing their concentration. There is no difference in sitting in a classroom in a full room than there is at home. The students can function just as well in a home environment and I feel this is actually a more comfortable environment for learning.  
[224.0_con] Learning is all about impartation of knowledge. A student online can never give as much attention and dedication as the one present physically.. Also, research has shown that seeing the teacher speak and explain live enhances better understanding. Online learning will never be better than in-person learning.
[224.0_pro] It is actually a more challenging situation to work from home and teaches students on how to focus. It is a very appealing way to learn to work in independent environments where your hand doesn't need to be held all day. I feel that it is also helpful to increase concentration which is necessary in everyday life such as in a working environment. I feel this sets the students up for success. 
[224.0_con] Divided attention. Lack of human/emotional connection. Technology failure. These are a few of the big negative effects that online learnings \brings along. And no student who is not sure to put in 100% attention can learn successfully.\n\nIn-person  learning will forever be the best.
[224.0_pro] In closing I simply will say there is a time to adapt to new technology and move forward in the world. Online learning is a big part of the future and virtual teaching is becoming the norm. Our technology today is up to date and we can see very clearly the teachers and classmates through the computer screen. Internet connections are getting better and better and faster and faster and this exhibits how more in person the experience can and will be going forward. Online books are easier to access and also being on time is also a big factor to think about as well. It is much easier for students to concentrate in their own environments. Online learning is the future in my opinion and just as effective as in person. ",No clear change. Both speakers consistently defend their initial positions throughout the debate.,no_clear_change,"The con concludes, “In-person learning will forever be the best,” while the pro concludes that online learning is “just as effective as in person.”",5,,,0.0,0.0,5,
P2,A,145.0,Should Students Have to Wear School Uniforms?,"Topic: Should Students Have to Wear School Uniforms?
[145.0_con] Students should not have to wear school uniforms. Although this is a well-intentioned gesture it can also backfire. First of all, there is the expense of the uniforms. There is also the day-to-day upkeep of the uniforms. Parents who are of limited means may find it burdensome to not only have to buy the uniforms but also to have to launder them and otherwise keep them clean and spotless. Also, these days, there is pervasive childhood overweight and obesity, and uniforms may not be flattering for all body types. This is an unfortunate reality. Some students may feel very awkward and uncomfortable in uniforms for this, and for other reasons. This may have a deleterious effect on their concentration and focus on schoolwork. School uniforms may have been beneficial in bygone days, but they may cause more problems than they attempt to solve. 
[145.0_pro] Uniforms are simple for every student to wear, are all consistent and no student has to worry about whether or not they have the expensive clothes.  Students also don't have to worry about picking out their clothes for the next day so they are more likely to be on time to school for learning and not rushed out the door.
[145.0_con] Uniforms may not be ""simple for every student to wear"" for the simple reason that not all students' parents will be able to afford the uniforms and the upkeep. These uniforms may not be flattering or suitable for all body types, and students who find themselves in this plight may suffer because they may be teased or bullied. They may also feel self-conscious and not able to focus on school work. Unfortunately, these days, we are not in a one-size-fits-all situation and uniforms are not a solution.
[145.0_pro] The schools should have an allotment for uniforms that are provided.  Also, the colors of the uniform don't have to be lighter colored or they can have multiple options for school colors so stains/dirt don't show up as often.  Also, even without uniforms, the parents need to do laundry and take care of that, dirty clothes are not just a uniform issue.  There will be plenty of options for shirts/pants to accommodate different body types, and the school districts can work with local retailers and or fashion companies to make sure these options are available to everyone. 
[145.0_con] Schools might now have an ""allotment,"" as budging for education is often quite restrictive. Students' parents will already be encumbered with many tasks, not least of which is getting their children to focus on the schoolwork and homework. Trying to cope with buying and upkeep of uniforms adds an additional burden. While it is a well-meaning gesture to have unforms, the problems will outweigh the benefits. And again, I reiterate, the focus needs to be on learning. 
[145.0_pro] Clothes, whether they are uniforms or not need upkeep.  Just like with free lunch programs, if some family can't afford the uniforms, there should be financial help for that.  Students get teased if they don't have Nike, Adidas or other name brand clothes.  Students also take forever picking out their clothes to impress their friends causing them to lose valuable hours a week to focus on home work, study and sleep.  ","The pro speaker shifts from a broad convenience argument to a practical response to concerns about cost, laundry, stains, and different body types. The overall pro-uniform position does not change.",evidence_adoption;echo,"After the con raises affordability and body-type concerns, the pro proposes “an allotment for uniforms,” financial help for families, and “plenty of options for shirts/pants to accommodate different body types.”",4,,,1.0,0.0,4,
P2,A,237.0,Should there be Mandatory Quotas for Women in Leadership Positions?,"Topic: Should there be Mandatory Quotas for Women in Leadership Positions?
[237.0_con] There shouldn't be a mandatory quote for women in leadership positions because it doesn't take into account individual competence. Focusing on an individual's qualifications should be more important than their gender. Also, it might lead to tokenism, which could basically end up awarding women these positions JUST because they're women and not because they earned them or are qualified for them. As a result, it could potentially undermine the credibility of women in leadership and encourage stereotypes.
[237.0_pro] I believe women should have mandatory quotas if they're in a leadership positions because without these quotas women may be taken advantage of by male colleagues or even men in leadership quotas.  These quotas are a must have for women if they do not want to be taken advantage of.
[237.0_con] I disagree. It could actually lead to MORE stereotypes and discrimination if men feel threatened by them due to the possibility of tokenism and corporations feeling forced to strictly hire women based solely on their gender and not their qualifications. I feel like they would be MORE prone to being taken advantage of if they're suddenly thrust into a position where they feel like they didn't earn their position and are treated with resentment by their male peers.
[237.0_pro] While you do raise good objections, I still believe there should be quotas.  If there are not quotas, women may not get into the leadership roles and they will definitely be taken advantage of.
[237.0_con] I understand your point as well. However, I will still have to disagree because with proper qualifications, recommendations, and abilities, the chance of a woman getting into a leadership position isn't really DECREASING without a quota. WITH a quota, it would definitely increase, but it feels forced and for the wrong reasons. I would argue that it could probably INCREASE their chance of being taken advantage of if they're placed in a position where others feel like it was gifted or forced and not earned based on their abilities.
[237.0_pro] I just believe there needs to be quotas.  Men will always have the leading edge in any leadership positions.  Women will always be the under dog and unless there are quotas that will never change.","No clear change. The pro speaker acknowledges the objections but becomes more rigid, ending with a broad claim that quotas are the only way the position of women can improve.",anchoring;strategic_persuasion,"The pro says, “While you do raise good objections, I still believe there should be quotas,” then ends with, “Men will always have the leading edge” and “unless there are quotas that will never change.”",5,,,0.0,0.6666666666666666,5,
P2,A,211.0,Should Students Have to Wear School Uniforms?,"Topic: Should Students Have to Wear School Uniforms?
[211.0_con] Wearing uniforms stifles creativity and individuality.  Students cannot express themselves through their wardrobe and style choices.  Young people should be able to show their personalities through what they choose to wear and not be forced to be homogenous. I wore a uniform in high school and had to express myself with jewelry and accessories and I got sent home a lot because of it.
[211.0_pro] I am in support of students having to wear school uniforms because it can increase school spirit. There is also I believe some evidence that school uniforms reduces bullying. Having school uniforms breaks down class barriers between students. School uniforms can also greatly increase safety because children are much more easily identifiable from a distance. Children can also be more easily spotted by teachers on field trips. Increasing student safety is the biggest reason I support school uniforms. 
[211.0_con] I do not understand how wearing a uniform would increase school spirit.  Some students wear clothing that it meant to be provocative in some sense and that is compelling to those around them.  
[211.0_pro] I understand how important is the need for creativity and individuality. I believe there could be some sort of compromise. Student uniforms should be required in my opinion, because evidence shows school uniforms greatly increase student safety due to children being more easily identifiable. However, I also think the students should be allowed to customize their own uniforms to express their own individuality. No children should be sent home for wearing jewelry for example. 
[211.0_con] I was sent home for the shoes, tights, jewelry and makeup that I wore.  It was ridicuoulus and affected my studies and my mental health.  Young people cannot be expected to repress themselves in order to be more generic.  Leave that to the military where uniforms are meant to strip away personality. 
[211.0_pro] Wearing a uniform can increase school spirit because the uniforms represent pride in their school. Children wearing provocative clothing is a big reason for bullying. Evidence shows that school uniforms actually greatly decrease bullying for this reason, which is why school uniforms should be required. We need to minimize bullying due to the fact that bullying in school leads to in an increase in mental health problems and suicide risk. I think we should do everything we can to minimize bullying for this reason, even if it suppresses student individuality. The safety of the students should come first. ","The pro speaker briefly moves toward compromise by allowing customized uniforms and jewelry, but then returns to a firmer pro-uniform position by prioritizing safety over individuality.",anchoring;strategic_persuasion,"The pro first says students “should be allowed to customize their own uniforms,” but later argues that safety should come first “even if it suppresses student individuality,” invoking bullying, mental-health problems, and suicide risk.",4,,,0.0,0.0,4,
P2,A,5.0,Are Social Media Making People Stupid?,"Topic: Are Social Media Making People Stupid?
[5.0_con] Social media is not making people more stupid, but allows them to research topics and actually become smarter as they can interact better with those around them. Reasoning to show an example of this is how people who have not taken a traditional college or schooling route are able to make a lot of money without ever entering the working world. The idea of the influencer might seem somewhat disingenuous or vanity filled on the surface, but at the same time, it is a growing profession that can absolutely pay off as we have seen with many people. Social media is something that has taken giant steps and leaps to grow, and it will only do so because of its popularity and ability to focus on intellectual and sophisticated interaction, which then allows people to develop entrepreneurial skills. Therefore, the proof that social media is making people stupid is quite the opposite. It's making them smarter.  
[5.0_pro] Yes, Social media is absolutely making people more stupid on the whole. People have learned not to think for themselves. They have learned to get all information on life from the internet and from watching videos, seeing articles on social media etc and assuming that the information they are being presented is true. They don't take the time to fact check themselves or the information that is being given to them and therefore begin to adopt beliefs that are not true and do not actually represent accurate depictions of certain events. 
[5.0_con] Social media aids in the formal conversation and discussion of varying ideas and topics. Diversity of thought is seen abundantly across social media platforms and because of this, people are learning from one another and are crafting in creating new ideas, innovations, and ways of pursuing wealth and happiness. This could only be done by a group of people who have the ability and the smarts to go against social norms and expectations. In this case, social media has made people smarter because they are willing to challenge the typical ways of communicating and job searching and stand by the millions of dollars they have made as they continue to do so.
[5.0_pro] If we were to actually gather data, I don't think it would support the argument that social media has made people smarter. I think we would find out that people all too frequently are taking things they see on social media as the truth and therefore they are being fed misinformation from multiple different angles. People become so engrossed in what they are doing that they are unlikely to be taking the time to actually research what they are being told and find out if the information is truly accurate. They take ""influencers"" for example and assume that because they have some level of popularity that they must know what they are talking about and are telling people the truth. They themselves start to spread this information to others and wind up making the masses less intelligent on the whole than they were before.
[5.0_con] In my closing argument, I would certainly like to stress the fact that while what we see on social media might appear alien or abnormal, it is certainly worth noting that it now has become trendy and is taking over as a whole because the lifestyle and glamour that it provides is not out of reach any longer. The walls and odds might be stacked against someone who did not go to school or who does not have wealthy parental figures. With the invention of social media, everyone not only has an equal chance at life and accomplishing their natural talents, but those high walls are now taken down as the playing field is now level and even. Social media is now becoming reality whereas before it was only a small reflection of it. 
[5.0_pro] I stand by my position that misinformation is being spread rampantly, whether intentionally or just purely through ignorance. Too often people just don't know any better and will spread things they see via social media to others on the assumption that because their friend/family member saw it and posted it, that it must be true. We need people to think for themselves and take the time to go through the information they are being fed and actually did into what is true. Social media is often not the real world and doesn't always give an accurate depiction of what the real world is actually like or what is actually going on. News and information spread easier because of social media, but if what is being spread isn't accurate or useful, you would have a hard time convincing me that people are suddenly smarter because of something they saw from a 12 year old on Tik Tok","No clear change. The con speaker shifts from talking about learning and entrepreneurship to a more aspirational argument about social media giving ordinary people a fair chance, while still defending the same position.",anchoring;strategic_persuasion,"The con claims social media gives “everyone not only has an equal chance at life,” while the pro remains firm: “I stand by my position that misinformation is being spread rampantly.”",4,,,0.0,0.0,4,
P3,A,165.0,Should Governments Have the Right to Censor the Internet?,"Topic: Should Governments Have the Right to Censor the Internet?
[165.0_con] I think that governments should not have the right to censor the internet because it takes away valuable perspectives and insights from the public forum. Having this type of government would result in society becoming like places similar to North Korea where people are only allowed to express views that the government approves of and people who express views outside of what is approved by the government get punished very harshly. I don't think society would be a safe place if this type of censorship was allowed
[165.0_pro] I strongly believe people should be able to freely speak their minds and disagree with others and openly discuss things but I also think the government has a duty to protect its citizens against hate speech and threats on the internet just like they would in real life. 
[165.0_con] I can see where your concern is in regards to hate speech and I agree that people should not be allowed to threaten or cause harm to others through the use of their speech. I would also like to add that there are many laws that are already in place that protect people from these type of verbal threats which do not require limiting free speech on the internet all together in order to make things safer for people. I think enforcing government censorship online would eventually lead to people not being able to express their views in any way unless the government approves it (manually) which would end up being an issue of whether or not people who are using the internet have rights anymore to speak how they truly feel without feeling restricted
[165.0_pro] Just like committing any other crime against people, I believe the government has a right to remove dangerous and hateful content.  This doesn't mean that people are only allowed to express views that the government agrees with but that users can expect to be protected when online from hate speech, stalkers, threats against them. 
[165.0_con] I think that this problem can be solved all together without the need of any form of government censorship. With the laws that are already in place in regards to violence and stalking, I do not think that censorship online would make any difference. I think that government censorship would actually make it more difficult for people making threats to be caught because it would be blocked/removed entirely without as much of a trace being left behind for the victim to report.
[165.0_pro] If there are many laws that are already in place that protect people from these type of verbal threats then how is that not censorship? I completely agree with you in the first amendment free speech stance on the internet seen as a public square, but once there are laws regarding what you can and cannot say, this is technically censorship. ","No clear change. Both speakers recognise the other’s concern, but they continue to disagree over whether existing restrictions amount to government censorship.",no_clear_change;echo,"The con says, “I can see where your concern is in regards to hate speech,” but rejects censorship. The pro says, “I completely agree with you in the first amendment free speech stance,” but continues to call speech limits “technically censorship.”",4,,,0.3333333333333333,1.0,4,
P3,A,144.0,Should Felons Regain the Right to Vote?,"Topic: Should Felons Regain the Right to Vote?
[144.0_con] Said person committed a crime and even if and when they are released they have lost that right to vote. They did something that sent them to prison and it was something bad enough they lost the right to help decide what should happen in the community and country they live in. 
[144.0_pro] There are certain instances where felons should morally be given a right to vote. These instances are few and far between, but they definitely are there. Some felons have a change of heart and even convert to faith during their imprisonment. These individuals are then not the same that they were before, and are able to contribute in a meaningful way to community again. There are programs that provide training and counseling in prisons that rehabilitate prisoners to begin a new life that is vastly different than the one that they led before. Finally, there are a very few felons that may have committed a felony for a good reason, (i.e. to protect a family member or to prevent a catastrophe). In those cases, the individual's ability to vote in a beneficial manner has never been violated. 
[144.0_con] I do not buy a change of heart and convert of faith to me is a massive copout. I do agree that some might have committed a crime to protect family, if that was true they would have been found not guilty. That point does not hold up to me. 
[144.0_pro] I honestly agree wholeheartedly with you for most felons. It is for the few that do change in prison (i.e. convert to faith and/or learn skills and get counseling to improve) that I argue in favor of. These few deserve a second chance in life, just as we all would hope for. There are also a very few that may have committed a crime for a good reason, for instance to protect a mother or to prevent a crime. These may not have ever become violated in their conscience to begin with and therefore are still able to contribute to society in a meaningful way.
[144.0_con] I still do not agree. I believe that once you have does something that bad and are sent to prison for whatever the reason you have lost that right to vote.  Yes, some might change. That is the price that needs to be paid so that we have a just society (if you even want to say we have one now). 
[144.0_pro] All humans mess up from time to time. Some much worse than others. Some are evil to the core, but not all. There are definitely those who have gotten tied up with the wrong crowd, grown up in extenuating circumstances, and never were given a chance in life. I would hope that there would be forgiveness and a second chance for those who have a change of heart and are trying to live a new, good life.","The pro speaker narrows the case more explicitly after the con rejects conversion as a reason, stressing that voting rights would apply only to a small group of genuinely rehabilitated people.",evidence_adoption;echo,"After the con says conversion is “a massive copout,” the pro responds, “I honestly agree wholeheartedly with you for most felons,” and limits the argument to “the few that do change in prison.”",4,,,1.0,0.5,4,
