system_pre,system_post,agreementPreTreatment,agreementPostTreatment
0.0,0.27129513890524026,2,4
0.0,0.4448500871217634,3,3
0.0,0.5642540696820485,4,3
0.0,0.6883401517529972,4,4
0.0,0.27129513890524026,3,5
0.0,0.5723891498667195,5,3
0.0,0.6853068806887143,1,3
0.0,0.5723891498667195,1,2
0.0,0.5642540696820485,4,3
0.0,0.422777303392571,4,4
0.0,0.08539676616320835,5,2
0.0,0.49227041382876885,5,5
0.0,0.27129513890524026,3,5
0.0,0.4337526698914267,1,3
0.0,0.501581587313915,5,4
0.0,0.422777303392571,5,5
0.0,0.7323967472870069,4,5
0.0,0.6853068806887143,3,3
0.0,0.27129513890524026,1,5
0.0,0.27129513890524026,3,2
0.0,0.27129513890524026,4,2
0.0,0.5642540696820485,5,5
0.0,0.6853068806887143,5,5
0.0,0.6853068806887143,1,2
0.0,0.422777303392571,5,5
0.0,0.4337526698914267,1,3
0.0,0.6853068806887143,1,1
0.0,0.27129513890524026,5,3
0.0,0.4448500871217634,2,2
0.0,0.5723891498667195,2,3
0.0,0.27129513890524026,5,1
0.0,0.422777303392571,2,2
0.0,0.27129513890524026,5,3
0.0,0.27129513890524026,1,1
0.0,0.6215679878035193,4,1
0.0,0.6437256402979276,3,5
0.0,0.4337526698914267,3,5
0.0,0.5723891498667195,5,5
0.0,0.6853068806887143,1,1
0.0,0.6853068806887143,4,3
0.0,0.17639681582959907,1,3
0.0,0.7323967472870069,5,5
0.0,0.07810194055095884,3,3
0.0,0.581356827476029,4,3
0.0,0.27129513890524026,4,3
0.0,0.5642540696820485,4,5
0.0,0.5642540696820485,4,4
0.0,0.581356827476029,1,1
0.0,0.2696748896409355,5,2
0.0,0.4337526698914267,2,3
0.0,0.27129513890524026,5,3
0.0,0.4337526698914267,5,5
0.0,0.7294524863356736,4,4
0.0,0.8085817100559899,3,3
0.0,0.5723891498667195,3,3
0.0,0.27129513890524026,5,5
0.0,0.27129513890524026,5,5
0.0,0.27129513890524026,3,3
0.0,0.5723891498667195,3,3
0.0,0.27129513890524026,2,3
0.0,0.422777303392571,1,2
0.0,0.7347866250587721,2,3
0.0,0.5723891498667195,4,2
0.0,0.422777303392571,4,4
0.0,0.4281718158549252,4,4
0.0,0.581356827476029,2,2
0.0,0.4337526698914267,3,3
0.0,0.27129513890524026,1,1
0.0,0.5723891498667195,1,1
0.0,0.4448500871217634,1,2
0.0,0.5723891498667195,4,3
0.0,0.581356827476029,1,1
0.0,0.6853068806887143,2,3
0.0,0.5723891498667195,5,4
0.0,0.6853068806887143,5,5
0.0,0.27129513890524026,3,1
0.0,0.27129513890524026,5,1
0.0,0.27129513890524026,5,5
0.0,0.6853068806887143,4,4
0.0,0.422777303392571,2,2
0.0,0.27129513890524026,3,2
0.0,0.6853068806887143,4,4
0.0,0.4448500871217634,4,2
0.0,0.5642540696820485,4,3
0.0,0.6853068806887143,3,2
0.0,0.27129513890524026,3,3
0.0,0.27129513890524026,4,4
0.0,0.6853068806887143,5,5
0.0,0.5642540696820485,3,3
0.0,0.27129513890524026,2,2
0.0,0.6853068806887143,4,5
0.0,0.422777303392571,2,3
0.0,0.5723891498667195,4,4
0.0,0.7347866250587721,4,5
0.0,0.41766134651193687,2,1
0.0,0.27129513890524026,5,5
0.0,0.27129513890524026,2,2
0.0,0.4448500871217634,4,5
0.0,0.18350290800411953,1,1
0.0,0.27129513890524026,2,1
0.0,0.581356827476029,4,3
0.0,0.27129513890524026,3,3
0.0,0.4448500871217634,5,2
0.0,0.27129513890524026,3,3
0.0,-0.1373458480775761,2,2
0.0,0.7347866250587721,3,5
0.0,0.6853068806887143,3,3
0.0,0.6853068806887143,4,5
0.0,0.27129513890524026,1,2
0.0,0.422777303392571,2,2
0.0,0.6359936468951559,3,2
0.0,0.422777303392571,4,4
0.0,0.27129513890524026,5,5
0.0,0.27129513890524026,5,5
0.0,0.27129513890524026,1,1
0.0,-0.13560903398928206,1,3
0.0,0.27129513890524026,1,1
0.0,0.4448500871217634,1,1
0.0,-0.12220242692430723,5,4
0.0,0.23460060228206545,4,1
0.0,0.4337526698914267,3,2
0.0,0.6282669804735602,5,5
0.0,0.6254320318947411,3,3
0.0,0.422777303392571,4,3
0.0,0.0,3,3
0.0,0.27129513890524026,4,5
0.0,0.422777303392571,2,3
0.0,0.4337526698914267,5,4
0.0,0.6282669804735602,5,5
0.0,0.5723891498667195,3,3
0.0,0.6853068806887143,4,2
0.0,0.422777303392571,3,4
0.0,0.27129513890524026,4,4
0.0,0.5642540696820485,4,3
0.0,0.16463795094055927,4,4
0.0,0.422777303392571,4,5
0.0,0.4448500871217634,2,2
0.0,0.5642540696820485,3,4
0.0,0.6853068806887143,5,3
0.0,0.6853068806887143,5,2
0.0,0.581356827476029,3,3
0.0,0.5723891498667195,3,3
0.0,0.27129513890524026,1,1
0.0,0.6853068806887143,4,4
0.0,0.7294524863356736,1,1
0.0,0.581356827476029,1,1
0.0,0.17639681582959907,1,1
0.0,0.581356827476029,1,5
0.0,0.4337526698914267,1,1
0.0,0.4391608115293908,2,2
0.0,0.5642540696820485,4,4
0.0,0.422777303392571,4,5
0.0,0.16051893253628025,3,4
0.0,0.16051893253628025,4,4
0.0,0.0510246195515518,4,2
0.0,0.6853068806887143,4,3
0.0,0.27129513890524026,4,2
0.0,0.2585088259138582,4,2
0.0,0.5113158372426809,3,4
0.0,0.7729263641202363,3,3
0.0,0.5642540696820485,5,3
0.0,0.27129513890524026,4,4
0.0,0.35503269651817143,3,3
0.0,0.27129513890524026,4,4
0.0,0.27129513890524026,4,5
0.0,0.5214005794452197,1,3
0.0,0.4337526698914267,5,3
0.0,0.5723891498667195,5,5
0.0,0.27129513890524026,1,3
0.0,0.5723891498667195,4,4
0.0,0.4337526698914267,3,3
0.0,0.2522479293930002,4,4
0.0,0.27129513890524026,2,1
0.0,0.581356827476029,3,3
0.0,0.27129513890524026,1,5
0.0,0.581356827476029,2,2
0.0,0.27129513890524026,2,2
0.0,0.17639681582959907,2,1
0.0,0.27129513890524026,1,1
0.0,-0.7887830186314088,2,3
0.0,0.5723891498667195,4,4
0.0,0.6853068806887143,2,4
0.0,0.4337526698914267,1,1
0.0,0.5642540696820485,5,5
0.0,0.6853068806887143,4,3
0.0,0.5723891498667195,3,3
0.0,0.1901809476315225,2,3
0.0,0.5723891498667195,2,3
0.0,0.17639681582959907,5,4
0.0,0.5642540696820485,5,5
0.0,0.5723891498667195,3,1
0.0,0.27129513890524026,2,3
0.0,0.4448500871217634,5,1
0.0,0.6853068806887143,5,4
0.0,0.4337526698914267,5,4
0.0,0.5642540696820485,5,5
0.0,0.5723891498667195,2,2
0.0,0.5723891498667195,4,4
0.0,0.27129513890524026,4,4
0.0,0.581356827476029,3,3
0.0,0.7754589415942128,4,4
0.0,0.581356827476029,4,4
0.0,0.1901809476315225,4,2
0.0,0.6853068806887143,4,4
0.0,0.581356827476029,3,3
0.0,0.422777303392571,3,3
0.0,0.6853068806887143,2,2
0.0,0.27129513890524026,4,2
0.0,0.5723891498667195,4,3
0.0,0.27129513890524026,2,2
0.0,0.5723891498667195,5,4
0.0,0.422777303392571,1,3
0.0,0.581356827476029,4,2
0.0,0.4448500871217634,1,1
0.0,0.5642540696820485,4,2
0.0,0.6853068806887143,4,3
0.0,0.581356827476029,4,4
0.0,0.1674654928907719,1,1
0.0,-0.33791327401970356,5,5
0.0,0.5642540696820485,3,3
0.0,0.27129513890524026,5,1
0.0,0.5723891498667195,5,5
0.0,0.4337526698914267,5,3
0.0,0.422777303392571,1,1
0.0,0.4337526698914267,2,3
0.0,0.4448500871217634,2,4
0.0,0.27129513890524026,5,2
0.0,0.27129513890524026,4,3
0.0,0.5723891498667195,1,1
0.0,0.4337526698914267,5,5
0.0,0.6853068806887143,4,4
0.0,0.27129513890524026,5,2
0.0,0.6254320318947411,1,1
0.0,0.4337526698914267,5,2
0.0,0.6853068806887143,4,3
0.0,0.7323967472870069,5,2
0.0,0.581356827476029,4,4
0.0,0.17639681582959907,2,3
0.0,0.581356827476029,3,3
0.0,0.5723891498667195,2,2
0.0,0.4448500871217634,1,1
0.0,0.5723891498667195,2,5
0.0,0.6853068806887143,5,5
0.0,0.4337526698914267,3,3
0.0,0.27129513890524026,2,5
0.0,0.6359936468951559,4,4
0.0,0.27129513890524026,1,1
0.0,0.27129513890524026,1,2
0.0,0.27129513890524026,5,3
0.0,0.6853068806887143,3,3
0.0,0.4448500871217634,3,3
0.0,0.27129513890524026,2,1
0.0,0.5642540696820485,2,3
0.0,0.6853068806887143,4,4
0.0,0.6853068806887143,3,2
0.0,0.422777303392571,2,4
0.0,0.27129513890524026,4,4
0.0,0.581356827476029,5,5
0.0,0.2585088259138582,2,2
0.0,0.5642540696820485,1,2
0.0,0.27129513890524026,5,4
0.0,0.6853068806887143,5,3
0.0,0.6853068806887143,4,4
0.0,0.27129513890524026,1,3
0.0,0.27129513890524026,5,5
0.0,0.7710526290045868,5,5
0.0,0.4448500871217634,2,2
0.0,0.4448500871217634,2,4
0.0,0.5723891498667195,2,2
0.0,0.5642540696820485,3,3
0.0,0.6853068806887143,3,3
0.0,0.6853068806887143,2,4
0.0,0.6853068806887143,3,2
0.0,0.581356827476029,1,2
0.0,0.4448500871217634,1,1
0.0,0.4448500871217634,3,5
0.0,0.27129513890524026,4,4
0.0,0.4128587582212546,3,4
0.0,0.422777303392571,5,5
0.0,0.5642540696820485,2,2
0.0,0.5723891498667195,2,3
0.0,0.5642540696820485,4,4
0.0,0.422777303392571,4,4
0.0,0.6853068806887143,5,5
0.0,0.6853068806887143,2,1
0.0,0.422777303392571,4,5
0.0,0.6853068806887143,5,5
0.0,0.581356827476029,2,3
0.0,0.09170589201755688,3,4
0.0,0.7323967472870069,4,4
0.0,0.35503269651817143,4,4
0.0,0.7294524863356736,3,3
0.0,0.17639681582959907,1,3
0.0,0.4448500871217634,5,5
0.0,0.422777303392571,4,3
0.0,0.09170589201755688,3,3
0.0,0.4337526698914267,2,3
0.0,0.5642540696820485,4,4
0.0,0.27129513890524026,4,4
0.0,0.07636422059170751,5,5
