participant_id,transcript_id,condition,accuracy,time_to_answer
TS,125.0,workbench,0.5,2.3
GS,125.0,raw_transcript,0.0,2.0
TS,176.0,workbench,1.0,1.3
RK,176.0,raw_transcript,0.5,2.75
GS,111.0,workbench,0.6666666666666666,3.0
RK,111.0,raw_transcript,1.0,2.5
GS,121.0,workbench,0.6666666666666666,3.0
TS,121.0,raw_transcript,0.3333333333333333,1.2
RK,127.0,workbench,0.6666666666666666,3.3
TS,127.0,raw_transcript,0.6666666666666666,1.0
RK,145.0,workbench,0.6666666666666666,2.5
GS,145.0,raw_transcript,0.6666666666666666,4.0
